cid,name,nameKor,styleTube,enhancerTube,coolerTube,relicTube
14107,14_owl_00,부엉이 스킬 00,13_owl_00_style,13_owl_00_enhancer,13_owl_00_cooler,
14108,14_owl_01,부엉이 스킬 01,13_owl_01_style,13_owl_01_enhancer,13_owl_01_cooler,
14109,14_crow_00,까마귀 스킬 00,13_crow_00_style,13_crow_00_enhancer,13_crow_00_cooler,
14110,14_crow_01,까마귀 스킬 01,13_crow_01_style,13_crow_01_enhancer,13_crow_01_cooler,
14111,14_salamander_00,도롱뇽 스킬 00,13_salamander_00_style,13_salamander_00_enhancer,13_salamander_00_cooler,13_Salamander
14112,14_carbannog_00,카르바노그 스킬 00,13_carbannog_00_style,13_carbannog_00_enhancer,13_carbannog_00_cooler,13_Caerbannog
14113,14_carbannog_01,카르바노그 스킬 01,13_carbannog_01_style,13_carbannog_01_enhancer,13_carbannog_01_cooler,
14114,14_carbannog_02,카르바노그 스킬 02,13_carbannog_02_style,13_carbannog_02_enhancer,13_carbannog_02_cooler,
14115,14_carbannog_03,카르바노그 스킬 03,13_carbannog_03_style,13_carbannog_03_enhancer,13_carbannog_03_cooler,
14116,14_tag_00,태그 스킬 00,13_tag_00_style,13_tag_00_enhancer,13_tag_00_cooler,
14117,14_tag_01,태그 스킬 01,13_tag_01_style,13_tag_01_enhancer,13_tag_01_cooler,
14118,14_tag_02,태그 스킬 02,13_tag_02_style,13_tag_02_enhancer,13_tag_02_cooler,
14119,14_tim_00,팀 스킬 00,13_tim_00_style,13_tim_00_enhancer,13_tim_00_cooler,
14120,14_tim_01,팀 스킬 01,13_tim_01_style,13_tim_01_enhancer,13_tim_01_cooler,13_Tim_01
14121,14_tim_02,팀 스킬 02,13_tim_02_style,13_tim_02_enhancer,13_tim_02_cooler,13_Tim_02
14122,14_tim_03,팀 스킬 03,13_tim_03_style,13_tim_03_enhancer,13_tim_03_cooler,13_Tim_03
14123,14_madbuddy_00,매드버리 스킬 00,13_madbuddy_00_style,13_madbuddy_00_enhancer,13_madbuddy_00_cooler,13_MadBuddy_01
14124,14_madbuddy_01,매드버리 스킬 01,13_madbuddy_01_style,13_madbuddy_01_enhancer,13_madbuddy_01_cooler,13_MadBuddy_01
14125,14_madbuddy_02,매드버리 스킬 02,13_madbuddy_02_style,13_madbuddy_02_enhancer,13_madbuddy_02_cooler,13_MadBuddy_01
14126,14_madbuddy_03,매드버리 스킬 03,13_madbuddy_03_style,13_madbuddy_03_enhancer,13_madbuddy_03_cooler,
14127,14_salamander_01,도롱뇽 스킬 01,14_salamander_01_style,14_salamander_01_enhancer,13_salamander_01_cooler,
14128,18_Pickpock_00,소매치기 스킬 00,18_Pickpock_00_style,18_Pickpock_00_enhancer,Bloom_00_cooler,
14129,18_Gangster_00,불량배 스킬 00,18_Gangster_00_style,18_Gangster_00_enhancer,Bloom_00_cooler,
14130,18_Gangster_01,불량배 스킬 01,18_Gangster_01_style,18_Gangster_01_enhancer,Bloom_00_cooler,
14131,18_Thrower_00,투척꾼 스킬 00,18_Thrower_00_style,18_Thrower_00_enhancer,Bloom_00_cooler,
14132,18_Mechanic_00,정비공 스킬 00,18_Mechanic_00_style,18_Mechanic_00_enhancer,Bloom_00_cooler,
14133,18_Mechanic_01,정비공 스킬 01,18_Mechanic_01_style,18_Mechanic_01_enhancer,Bloom_00_cooler,
14134,18_Welder_00,용접공 스킬 00,18_Welder_00_style,18_Welder_00_enhancer,Bloom_00_cooler,
14135,18_Scarlett_00,스칼렛 스킬 00,18_Scarlett_00_style,18_Scarlett_00_enhancer,Bloom_00_cooler,
14136,18_Scarlett_01,스칼렛 스킬 01,18_Scarlett_01_style,18_Scarlett_01_enhancer,Bloom_00_cooler,
14137,18_Scarlett_02,스칼렛 스킬 02,18_Scarlett_02_style,18_Scarlett_02_enhancer,Bloom_00_cooler,
14138,18_Dentin_00,덴틴 스킬 00,18_Dentin_00_style,18_Dentin_00_enhancer,Bloom_00_cooler,
14139,18_Dentin_01,덴틴 스킬 01,18_Dentin_01_style,18_Dentin_01_enhancer,Bloom_00_cooler,
14140,18_Dentin_02,덴틴 스킬 02,18_Dentin_02_style,18_Dentin_02_enhancer,Bloom_00_cooler,
14141,18_Camek_00,카멕 스킬 00,18_Camek_00_style,18_Camek_00_enhancer,Bloom_00_cooler,
14142,18_Camek_01,카멕 스킬 00,18_Camek_01_style,18_Camek_01_enhancer,Bloom_00_cooler,
