cid,nameEng,nameKor,grade,recognize,hp,recognizeValue,skillValue,dropTable
13108,Officer Tim,상황 통제관 팀,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
13109,Dr.MadBuddy,주임 연구관 매드버디,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
18100,Pickpock,소매치기,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
18101,Gangsta,불량배,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
18102,Butcher,칼잡이,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
18103,Mechanic,정비공,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
18104,Welder,용접공,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
18105,Black Hand Scarlett,검은 손 스칼렛,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
18106,Dealer Camek,중개상 카멕,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
18107,Tinker Dentin,땜장이 덴틴,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
17100,Mine Worker,두더지 곡괭이,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
17101,Mine Worker,두더지 폭탄,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
17102,17_boar,현장감독,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
17103,17_bat,현장감독,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
17104,17_turtle,거북이 삽,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
17105,17_anteater,개미핥기 지질학자,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
17106,17_zico,광부 대장 지코,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
17107,17_handless,채광 설비관 핸드리스,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
17108,17_coal,광산 통제관 콜,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
16100,16_hyena,하이에나 렌치,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
16101,16_salamander,너구리 용접공,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
16102,16_bull,도마뱀 영선공,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
16103,16_buffalo,물소 거대 렌치,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
16104,16_pangolin,천산갑 세공사,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
16105,16_reno,영선 반장 레노,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
16106,16_cotton,노조스 간부 코튼,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
16107,16_kimchr,노조스 리더 킴치르,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
15100,15_deer_01,사슴 목회자,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
15101,15_deer_02,사슴 수녀,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
15102,15_Polarbear,북극곰 신부,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
15103,15_Pumanus,이단심문관 퓨마누스,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
15104,15_goregoat,법황 고어고트,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
14100,14_bear,불곰 개틀링,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
14101,14_dog,도베르만 스팀 라이플,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
14102,14_buffalo,버팔로 방패병,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
14103,14_cat,고양이 의무병,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
14104,14_monkey,원숭이 관측병,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
14105,14_salamander,붉은 도마뱀 화염 방사병,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
14106,14_Strict,엘리트 가드 스트릭트,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
14107,14_Floyd,관제탑 관리관 플로이드,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
14108,14_Anderson,앤더슨,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
14109,14_Wyndham,윈덤,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
14110,14_Blanchard,브랜차드,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
14111,14_Flair,플레어,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
13100,13_bufflo_01,버팔로 방패병,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
13101,13_bufflo_02,버팔로 갑옷 수리관,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
13102,13_chamelon,카멜레온 권총,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
13103,13_Heavy,보급 관리관 헤비,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
13104,13_Engine,1급 특무관 엔진,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
13105,13_Nautilus,함장 노틸러스,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
12100,12_Penguin,펭귄 귀족,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
12101,12_Reindeer,순록 귀족,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
12102,12_Oswald,공장장 오스왈드,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
12103,12_Tasha,교수 타샤,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
12103,12_scandal,도박사 스캔달,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
